stage,date,distance,origin,destination,type,winner,winner_country,year
1,2017-07-01,14,Düsseldorf,Düsseldorf,individual time trial,Geraint Thomas,GBR,2017
2,2017-07-02,203.5,Düsseldorf,Liège,flat stage,Marcel Kittel,GER,2017
3,2017-07-03,212.5,Verviers,Longwy,medium mountain stage,Peter Sagan,SVK,2017
4,2017-07-04,207.5,Mondorf-les-Bains,Vittel,flat stage,Arnaud Démare,FRA,2017
5,2017-07-05,160.5,Vittel,La Planche des Belles Filles,medium mountain stage,Fabio Aru,ITA,2017
6,2017-07-06,216,Vesoul,Troyes,flat stage,Marcel Kittel,GER,2017
7,2017-07-07,213.5,Troyes,Nuits-Saint-Georges,flat stage,Marcel Kittel,GER,2017
8,2017-07-08,187.5,Dole,Station des Rousses,medium mountain stage,Lilian Calmejane,FRA,2017
9,2017-07-09,181.5,Nantua,Chambéry,high mountain stage,Rigoberto Urán,COL,2017
10,2017-07-11,178,Périgueux,Bergerac,flat stage,Marcel Kittel,GER,2017
11,2017-07-12,203.5,Eymet,Pau,flat stage,Marcel Kittel,GER,2017
12,2017-07-13,214.5,Pau,Peyragudes,high mountain stage,Romain Bardet,FRA,2017
13,2017-07-14,101,Saint-Girons,Foix,high mountain stage,Warren Barguil,FRA,2017
14,2017-07-15,181.5,Blagnac,Rodez,medium mountain stage,Michael Matthews,AUS,2017
15,2017-07-16,189.5,Laissac-Sévérac-l'Église,Le Puy-en-Velay,medium mountain stage,Bauke Mollema,NED,2017
16,2017-07-18,165,Le Puy-en-Velay,Romans-sur-Isère,medium mountain stage,Michael Matthews,AUS,2017
17,2017-07-19,183,La Mure,Serre Chevalier,high mountain stage,Primož Roglič,SLO,2017
18,2017-07-20,179.5,Briançon,Col d'Izoard,high mountain stage,Warren Barguil,FRA,2017
19,2017-07-21,222.5,Embrun,Salon-de-Provence,flat stage,Edvald Boasson Hagen,NOR,2017
20,2017-07-22,22.5,Marseille,Marseille,individual time trial,Maciej Bodnar,POL,2017
21,2017-07-23,103,Montgeron,Paris,flat stage,Dylan Groenewegen,NED,2017
1,2016-07-02,188,Mont Saint-Michel,Utah Beach,flat stage,Mark Cavendish,GBR,2016
2,2016-07-03,183,Saint-Lô,Cherbourg-en-Cotentin,flat stage,Peter Sagan,SVK,2016
3,2016-07-04,223.5,Granville,Angers,flat stage,Mark Cavendish,GBR,2016
4,2016-07-05,237.5,Saumur,Limoges,flat stage,Marcel Kittel,GER,2016
5,2016-07-06,216,Limoges,Le Lioran,medium mountain stage,Greg Van Avermaet,BEL,2016
6,2016-07-07,190.5,Arpajon-sur-Cère,Montauban,flat stage,Mark Cavendish,GBR,2016
7,2016-07-08,162.5,L'Isle-Jourdain,Lac de Payolle,medium mountain stage,Steve Cummings,GBR,2016
8,2016-07-09,184,Pau,Bagnères-de-Luchon,high mountain stage,Chris Froome,GBR,2016
9,2016-07-10,184.5,Vielha Val d'Aran,Andorra-Arcalis,high mountain stage,Tom Dumoulin,NED,2016
10,2016-07-12,197,Escaldes-Engordany,Revel,medium mountain stage,Michael Matthews,AUS,2016
11,2016-07-13,162.5,Carcassonne,Montpellier,flat stage,Peter Sagan,SVK,2016
12,2016-07-14,178,Montpellier,Chalet Reynard,high mountain stage,Thomas De Gendt,BEL,2016
13,2016-07-15,37.5,Bourg-Saint-Andéol,La Caverne du Pont-d'Arc,individual time trial,Tom Dumoulin,NED,2016
14,2016-07-16,208.5,Montélimar,Villars-les-Dombes,flat stage,Mark Cavendish,GBR,2016
15,2016-07-17,160,Bourg-en-Bresse,Culoz,high mountain stage,Jarlinson Pantano,COL,2016
16,2016-07-18,209,Moirans-en-Montagne,Bern,flat stage,Peter Sagan,SVK,2016
17,2016-07-20,184.5,Bern,Finhaut-Émosson,high mountain stage,Ilnur Zakarin,RUS,2016
18,2016-07-21,17,Sallanches,Megève,mountain time trial,Chris Froome,GBR,2016
19,2016-07-22,146,Albertville,Saint Gervais-les-Bains,high mountain stage,Romain Bardet,FRA,2016
20,2016-07-23,146.5,Megève,Morzine,high mountain stage,Ion Izagirre,ESP,2016
21,2016-07-24,113,Chantilly,Paris,flat stage,André Greipel,GER,2016
1,2015-07-04,13.8,Utrecht,Utrecht,individual time trial,Rohan Dennis,AUS,2015
2,2015-07-05,166,Utrecht,Zeeland,flat stage,André Greipel,GER,2015
3,2015-07-06,159.5,Antwerp,Huy,flat stage,Joaquim Rodríguez,ESP,2015
4,2015-07-07,223.5,Seraing,Cambrai,medium mountain stage,Tony Martin,GER,2015
5,2015-07-08,189.5,Arras,Amiens,flat stage,André Greipel,GER,2015
6,2015-07-09,191.5,Abbeville,Le Havre,flat stage,Zdeněk Štybar,CZE,2015
7,2015-07-10,190.5,Livarot,Fougères,flat stage,Mark Cavendish,GBR,2015
8,2015-07-11,181.5,Rennes,Mûr-de-Bretagne,flat stage,Alexis Vuillermoz,FRA,2015
9,2015-07-12,28,Vannes,Plumelec,team time trial,BMC Racing Team,NA,2015
10,2015-07-14,167,Tarbes,La Pierre Saint-Martin,high mountain stage,Chris Froome,GBR,2015
11,2015-07-15,188,Pau,Cauterets,high mountain stage,Rafał Majka,POL,2015
12,2015-07-16,195,Lannemezan,Plateau de Beille,high mountain stage,Joaquim Rodríguez,ESP,2015
13,2015-07-17,198.5,Muret,Rodez,medium mountain stage,Greg Van Avermaet,BEL,2015
14,2015-07-18,178.5,Rodez,Mende,medium mountain stage,Steve Cummings,GBR,2015
15,2015-07-19,183,Mende,Valence,medium mountain stage,André Greipel,GER,2015
16,2015-07-20,201,Bourg-de-Péage,Gap,medium mountain stage,Rubén Plaza Molina,ESP,2015
17,2015-07-22,161,Digne-les-Bains,Pra-Loup,high mountain stage,Simon Geschke,GER,2015
18,2015-07-23,186.5,Gap,Saint-Jean-de-Maurienne,high mountain stage,Romain Bardet,FRA,2015
19,2015-07-24,138,Saint-Jean-de-Maurienne,La Toussuire - Les Sybelles,high mountain stage,Vincenzo Nibali,ITA,2015
20,2015-07-25,110.5,Modane,Alpe d'Huez,high mountain stage,Thibaut Pinot,FRA,2015
21,2015-07-26,109.5,Sèvres,Paris,flat stage,André Greipel,GER,2015
1,2014-07-05,190.5,Leeds,Harrogate,flat stage,Marcel Kittel,GER,2014
2,2014-07-06,201,York,Sheffield,medium mountain stage,Vincenzo Nibali,ITA,2014
3,2014-07-07,155,Cambridge,London,flat stage,Marcel Kittel,GER,2014
4,2014-07-08,163.5,Le Touquet-Paris-Plage,Lille Metropole,flat stage,Marcel Kittel,GER,2014
5,2014-07-09,152.5,Ypres,Arenberg Porte du Hainaut,medium mountain stage,Lars Boom,NED,2014
6,2014-07-10,194,Arras,Reims,flat stage,André Greipel,GER,2014
7,2014-07-11,234.5,Épernay,Nancy,flat stage,Matteo Trentin,ITA,2014
8,2014-07-12,161,Tomblaine,Gérardmer La Mauselaine,medium mountain stage,Blel Kadri,FRA,2014
9,2014-07-13,170,Gérardmer,Mulhouse,medium mountain stage,Tony Martin,GER,2014
10,2014-07-14,161.5,Mulhouse,La Planche des Belles Filles,high mountain stage,Vincenzo Nibali,ITA,2014
11,2014-07-16,187.5,Besançon,Oyonnax,medium mountain stage,Tony Gallopin,FRA,2014
12,2014-07-17,185.5,Bourg-en-Bresse,Saint-Étienne,flat stage,Alexander Kristoff,NOR,2014
13,2014-07-18,197.5,Saint-Étienne,Chamrousse,high mountain stage,Vincenzo Nibali,ITA,2014
14,2014-07-19,177,Grenoble,Risoul,high mountain stage,Rafał Majka,POL,2014
15,2014-07-20,222,Tallard,Nîmes,flat stage,Alexander Kristoff,NOR,2014
16,2014-07-22,237.5,Carcassonne,Bagnères-de-Luchon,high mountain stage,Michael Rogers,AUS,2014
17,2014-07-23,124.5,Saint-Gaudens,Saint-Lary Pla d’Adet,high mountain stage,Rafał Majka,POL,2014
18,2014-07-24,145.5,Pau,Hautacam,high mountain stage,Vincenzo Nibali,ITA,2014
19,2014-07-25,208.5,Maubourguet Pays du Val d’Adour,Bergerac,flat stage,Ramūnas Navardauskas,LTU,2014
20,2014-07-26,54,Bergerac,Périgueux,individual time trial,Tony Martin,GER,2014
21,2014-07-27,137.5,Évry,Paris,flat stage,Marcel Kittel,GER,2014
1,2013-06-29,213,Porto-Vecchio,Bastia,flat stage,Marcel Kittel,GER,2013
2,2013-06-30,156,Bastia,Ajaccio,medium mountain stage,Jan Bakelants,BEL,2013
3,2013-07-01,145.5,Ajaccio,Calvi,medium mountain stage,Simon Gerrans,AUS,2013
4,2013-07-02,25,Nice,Nice,team time trial,Orica–GreenEDGE,NA,2013
5,2013-07-03,228.5,Cagnes-sur-Mer,Marseille,flat stage,Mark Cavendish,GBR,2013
6,2013-07-04,176.5,Aix-en-Provence,Montpellier,flat stage,André Greipel,GER,2013
7,2013-07-05,205.5,Montpellier,Albi,flat stage,Peter Sagan,SVK,2013
8,2013-07-06,195,Castres,Ax 3 Domaines,high mountain stage,Chris Froome,GBR,2013
9,2013-07-07,168.5,Saint-Girons,Bagnères-de-Bigorre,high mountain stage,Dan Martin,IRL,2013
10,2013-07-09,197,Saint-Gildas-des-Bois,Saint-Malo,flat stage,Marcel Kittel,GER,2013
11,2013-07-10,33,Avranches,Mont Saint-Michel,individual time trial,Tony Martin,GER,2013
12,2013-07-11,218,Fougères,Tours,flat stage,Marcel Kittel,GER,2013
13,2013-07-12,173,Tours,Saint-Amand-Montrond,flat stage,Mark Cavendish,GBR,2013
14,2013-07-13,191,Saint-Pourçain-sur-Sioule,Lyon,medium mountain stage,Matteo Trentin,ITA,2013
15,2013-07-14,242.5,Givors,Mont Ventoux,high mountain stage,Chris Froome,GBR,2013
16,2013-07-16,168,Vaison-la-Romaine,Gap,high mountain stage,Rui Costa,POR,2013
17,2013-07-17,32,Embrun,Chorges,individual time trial,Chris Froome,GBR,2013
18,2013-07-18,172.5,Gap,Alpe d'Huez,high mountain stage,Christophe Riblon,FRA,2013
19,2013-07-19,204.5,Le Bourg-d'Oisans,Le Grand-Bornand,high mountain stage,Rui Costa,POR,2013
20,2013-07-20,125,Annecy,Semnoz,high mountain stage,Nairo Quintana,COL,2013
21,2013-07-21,133.5,Versailles,Paris,flat stage,Marcel Kittel,GER,2013
P,2012-06-30,6.4,Liège,Liège,individual time trial,Fabian Cancellara,SUI,2012
1,2012-07-01,198,Liège,Seraing,flat stage,Peter Sagan,SVK,2012
2,2012-07-02,207.5,Visé,Tournai,flat stage,Mark Cavendish,GBR,2012
3,2012-07-03,197,Orchies,Boulogne-sur-Mer,medium mountain stage,Peter Sagan,SVK,2012
4,2012-07-04,214.5,Abbeville,Rouen,flat stage,André Greipel,GER,2012
5,2012-07-05,196.5,Rouen,Saint-Quentin,flat stage,André Greipel,GER,2012
6,2012-07-06,207.5,Épernay,Metz,flat stage,Peter Sagan,SVK,2012
7,2012-07-07,199,Tomblaine,La Planche des Belles Filles,medium mountain stage,Chris Froome,GBR,2012
8,2012-07-08,157.5,Belfort,Porrentruy,medium mountain stage,Thibaut Pinot,FRA,2012
9,2012-07-09,41.5,Arc-et-Senans,Besançon,individual time trial,Bradley Wiggins,GBR,2012
10,2012-07-11,194.5,Mâcon,Bellegarde-sur-Valserine,high mountain stage,Thomas Voeckler,FRA,2012
11,2012-07-12,148,Albertville,La Toussuire-Les Sybelles,high mountain stage,Pierre Rolland,FRA,2012
12,2012-07-13,226,Saint-Jean-de-Maurienne,Annonay-Davézieux,medium mountain stage,David Millar,GBR,2012
13,2012-07-14,217,Saint-Paul-Trois-Châteaux,Cap d'Agde,flat stage,André Greipel,GER,2012
14,2012-07-15,191,Limoux,Foix,high mountain stage,Luis León Sánchez,ESP,2012
15,2012-07-16,158.5,Samatan,Pau,flat stage,Pierrick Fédrigo,FRA,2012
16,2012-07-18,197,Pau,Bagnères-de-Luchon,high mountain stage,Thomas Voeckler,FRA,2012
17,2012-07-19,143.5,Bagnères-de-Luchon,Peyragudes,high mountain stage,Alejandro Valverde,ESP,2012
18,2012-07-20,222.5,Blagnac,Brive-la-Gaillarde,flat stage,Mark Cavendish,GBR,2012
19,2012-07-21,53.5,Bonneval,Chartres,individual time trial,Bradley Wiggins,GBR,2012
20,2012-07-22,120,Rambouillet,Paris,flat stage,Mark Cavendish,GBR,2012
1,2011-07-02,191.5,Passage du Gois,Mont des Alouettes,flat stage,Philippe Gilbert,BEL,2011
2,2011-07-03,23,Les Essarts,Les Essarts,team time trial,Garmin–Cervélo,NA,2011
3,2011-07-04,198,Olonne-sur-Mer,Redon,flat stage,Tyler Farrar,USA,2011
4,2011-07-05,172.5,Lorient,Mûr-de-Bretagne,flat stage,Cadel Evans,AUS,2011
5,2011-07-06,164.5,Carhaix,Cap Fréhel,flat stage,Mark Cavendish,GBR,2011
6,2011-07-07,226.5,Dinan,Lisieux,flat stage,Edvald Boasson Hagen,NOR,2011
7,2011-07-08,218,Le Mans,Châteauroux,flat stage,Mark Cavendish,GBR,2011
8,2011-07-09,189,Aigurande,Super Besse,medium mountain stage,Rui Costa,POR,2011
9,2011-07-10,208,Issoire,Saint-Flour,medium mountain stage,Luis León Sánchez,ESP,2011
10,2011-07-12,158,Aurillac,Carmaux,flat stage,André Greipel,GER,2011
11,2011-07-13,167.5,Blaye-les-Mines,Lavaur,flat stage,Mark Cavendish,GBR,2011
12,2011-07-14,211,Cugnaux,Luz Ardiden,high mountain stage,Samuel Sánchez,ESP,2011
13,2011-07-15,152.5,Pau,Lourdes,high mountain stage,Thor Hushovd,NOR,2011
14,2011-07-16,168.5,Saint-Gaudens,Plateau de Beille,high mountain stage,Jelle Vanendert,BEL,2011
15,2011-07-17,192.5,Limoux,Montpellier,flat stage,Mark Cavendish,GBR,2011
16,2011-07-19,162.5,Saint-Paul-Trois-Châteaux,Gap,medium mountain stage,Thor Hushovd,NOR,2011
17,2011-07-20,179,Gap,Pinerolo,high mountain stage,Edvald Boasson Hagen,NOR,2011
18,2011-07-21,200.5,Pinerolo,Col du Galibier-Serre Chevalier,high mountain stage,Andy Schleck,LUX,2011
19,2011-07-22,109.5,Modane,Alpe d'Huez,high mountain stage,Pierre Rolland,FRA,2011
20,2011-07-23,42.5,Grenoble,Grenoble,individual time trial,Tony Martin,GER,2011
21,2011-07-24,95,Créteil,Paris,flat stage,Mark Cavendish,GBR,2011
P,2010-07-03,8.9,Rotterdam,Rotterdam,individual time trial,Fabian Cancellara,SUI,2010
1,2010-07-04,223.5,Rotterdam,Brussels,flat stage,Alessandro Petacchi,ITA,2010
2,2010-07-05,201,Brussels,Spa,flat stage,Sylvain Chavanel,FRA,2010
3,2010-07-06,213,Wanze,Arenberg Porte du Hainaut,flat cobblestone stage,Thor Hushovd,NOR,2010
4,2010-07-07,153.5,Cambrai,Reims,flat stage,Alessandro Petacchi,ITA,2010
5,2010-07-08,187.5,Épernay,Montargis,flat stage,Mark Cavendish,GBR,2010
6,2010-07-09,227.5,Montargis,Gueugnon,flat stage,Mark Cavendish,GBR,2010
7,2010-07-10,165.5,Tournus,Station des Rousses,medium mountain stage,Sylvain Chavanel,FRA,2010
8,2010-07-11,189,Station des Rousses,Morzine-Avoriaz,mountain stage,Andy Schleck,LUX,2010
9,2010-07-13,204.5,Morzine-Avoriaz,Saint-Jean-de-Maurienne,mountain stage,Sandy Casar,FRA,2010
10,2010-07-14,179,Chambéry,Gap,medium mountain stage,Sérgio Paulinho,POR,2010
11,2010-07-15,184.5,Sisteron,Bourg-lès-Valence,flat stage,Mark Cavendish,GBR,2010
12,2010-07-16,210.5,Bourg-de-Péage,Mende,medium mountain stage,Joaquim Rodríguez,ESP,2010
13,2010-07-17,196,Rodez,Revel,flat stage,Alexander Vinokourov,KAZ,2010
14,2010-07-18,184.5,Revel,Ax 3 Domaines,mountain stage,Christophe Riblon,FRA,2010
15,2010-07-19,187.5,Pamiers,Bagnères-de-Luchon,mountain stage,Thomas Voeckler,FRA,2010
16,2010-07-20,199.5,Bagnères-de-Luchon,Pau,mountain stage,Pierrick Fédrigo,FRA,2010
17,2010-07-22,174,Pau,Col du Tourmalet,mountain stage,Andy Schleck,LUX,2010
18,2010-07-23,198,Salies-de-Béarn,Bordeaux,flat stage,Mark Cavendish,GBR,2010
19,2010-07-24,52,Bordeaux,Pauillac,individual time trial,Fabian Cancellara,SUI,2010
20,2010-07-25,102.5,Longjumeau,Paris,flat stage,Mark Cavendish,GBR,2010
1,2009-07-04,15.5,Monaco,Monaco,individual time trial,Fabian Cancellara,SUI,2009
2,2009-07-05,187,Monaco,Brignoles,flat stage,Mark Cavendish,GBR,2009
3,2009-07-06,196.5,Marseille,La Grande-Motte,flat stage,Mark Cavendish,GBR,2009
4,2009-07-07,39,Montpellier,Montpellier,team time trial,Astana,NA,2009
5,2009-07-08,196.5,Cap d'Agde,Perpignan,flat stage,Thomas Voeckler,FRA,2009
6,2009-07-09,181.5,Girona,Barcelona,flat stage,Thor Hushovd,NOR,2009
7,2009-07-10,224,Barcelona,Andorra-Arcalis,mountain stage,Brice Feillu,FRA,2009
8,2009-07-11,176.5,Andorra la Vella,Saint-Girons,mountain stage,Luis León Sánchez,ESP,2009
9,2009-07-12,160.5,Saint-Gaudens,Tarbes,mountain stage,Pierrick Fédrigo,FRA,2009
10,2009-07-14,194.5,Limoges,Issoudun,flat stage,Mark Cavendish,GBR,2009
11,2009-07-15,192,Vatan,Saint-Fargeau,flat stage,Mark Cavendish,GBR,2009
12,2009-07-16,211.5,Tonnerre,Vittel,flat stage,Nicki Sørensen,DEN,2009
13,2009-07-17,200,Vittel,Colmar,medium mountain stage,Heinrich Haussler,GER,2009
14,2009-07-18,199,Colmar,Besançon,flat stage,Sergei Ivanov,RUS,2009
15,2009-07-19,207.5,Pontarlier,Verbier,mountain stage,Alberto Contador,ESP,2009
16,2009-07-21,159,Martigny,Bourg-Saint-Maurice,mountain stage,Sandy Casar,FRA,2009
17,2009-07-22,169.5,Bourg-Saint-Maurice,Le Grand-Bornand,mountain stage,Fränk Schleck,LUX,2009
18,2009-07-23,40.5,Annecy,Annecy,individual time trial,Alberto Contador,ESP,2009
19,2009-07-24,178,Bourgoin-Jallieu,Aubenas,flat stage,Mark Cavendish,GBR,2009
20,2009-07-25,167,Montélimar,Mont Ventoux,mountain stage,Juan Manuel Gárate,ESP,2009
21,2009-07-26,164,Montereau-Fault-Yonne,Paris,flat stage,Mark Cavendish,GBR,2009
1,2008-07-05,197.5,Brest,Plumelec,flat stage,Alejandro Valverde,ESP,2008
2,2008-07-06,164.5,Auray,Saint-Brieuc,flat stage,Thor Hushovd,NOR,2008
3,2008-07-07,208,Saint-Malo,Nantes,flat stage,Samuel Dumoulin,FRA,2008
4,2008-07-08,29.5,Cholet,Cholet,individual time trial,Kim Kirchen,LUX,2008
5,2008-07-09,232,Cholet,Châteauroux,flat stage,Mark Cavendish,GBR,2008
6,2008-07-10,195.5,Aigurande,Super-Besse Sancy,transition stage,Alejandro Valverde,ESP,2008
7,2008-07-11,159,Brioude,Aurillac,transition stage,Luis León Sánchez,ESP,2008
8,2008-07-12,172.5,Figeac,Toulouse,flat stage,Mark Cavendish,GBR,2008
9,2008-07-13,224,Toulouse,Bagnères-de-Bigorre,mountain stage,Vladimir Efimkin,RUS,2008
10,2008-07-14,156,Pau,Hautacam,mountain stage,Juan José Cobo,ESP,2008
11,2008-07-16,167.5,Lannemezan,Foix,transition stage,Kurt Asle Arvesen,NOR,2008
12,2008-07-17,168.5,Lavelanet,Narbonne,flat stage,Mark Cavendish,GBR,2008
13,2008-07-18,182,Narbonne,Nîmes,flat stage,Mark Cavendish,GBR,2008
14,2008-07-19,194.5,Nîmes,Digne-les-Bains,flat stage,Óscar Freire,ESP,2008
15,2008-07-20,183,Embrun,Prato Nevoso,mountain stage,Simon Gerrans,AUS,2008
16,2008-07-22,157,Cuneo,Jausiers,mountain stage,Cyril Dessel,FRA,2008
17,2008-07-23,210.5,Embrun,Alpe d'Huez,mountain stage,Carlos Sastre,ESP,2008
18,2008-07-24,196.5,Bourg-d'Oisans,Saint-Étienne,transition stage,Marcus Burghardt,GER,2008
19,2008-07-25,165.5,Roanne,Montluçon,flat stage,Sylvain Chavanel,FRA,2008
20,2008-07-26,53,Cérilly,Saint-Amand-Montrond,individual time trial,Fabian Cancellara,SUI,2008
21,2008-07-27,143,Étampes,Paris,flat stage,Gert Steegmans,BEL,2008
P,2007-07-07,7.9,London,London,individual time trial,Fabian Cancellara,SUI,2007
1,2007-07-08,203,London,Canterbury,plain stage,Robbie McEwen,AUS,2007
2,2007-07-09,168.5,Dunkirk,Ghent,plain stage,Gert Steegmans,BEL,2007
3,2007-07-10,236.5,Waregem - Compiègne,Waregem - Compiègne,plain stage,Fabian Cancellara,SUI,2007
4,2007-07-11,193,Villers-Cotterêts,Joigny,plain stage,Thor Hushovd,NOR,2007
5,2007-07-12,182.5,Chablis,Autun,intermediate stage,Filippo Pozzato,ITA,2007
6,2007-07-13,199.5,Semur-en-Auxois,Bourg-en-Bresse,plain stage,Tom Boonen,BEL,2007
7,2007-07-14,197.5,Bourg-en-Bresse,Le Grand-Bornand,mountain stage,Linus Gerdemann,GER,2007
8,2007-07-15,165,Le Grand-Bornand,Tignes,mountain stage,Michael Rasmussen,DEN,2007
9,2007-07-17,159.5,Val-d'Isère,Briançon,mountain stage,Mauricio Soler,COL,2007
10,2007-07-18,229.5,Tallard,Marseille,plain stage,Cédric Vasseur,FRA,2007
11,2007-07-19,182.5,Marseille,Montpellier,plain stage,Robert Hunter,RSA,2007
12,2007-07-20,178.5,Montpellier,Castres,intermediate stage,Tom Boonen,BEL,2007
13,2007-07-21,54,Albi,Albi,individual time trial,Cadel Evans[n 1],AUS,2007
14,2007-07-22,197,Mazamet,Plateau-de-Beille,mountain stage,Alberto Contador,ESP,2007
15,2007-07-23,196,Foix,Loudenvielle,mountain stage,Kim Kirchen[n 1],LUX,2007
16,2007-07-25,218.5,Orthez,Gourette–Col d'Aubisque,mountain stage,Michael Rasmussen,DEN,2007
17,2007-07-26,188.5,Pau,Castelsarrasin,intermediate stage,Daniele Bennati,ITA,2007
18,2007-07-27,211,Cahors,Angoulême,plain stage,Sandy Casar,FRA,2007
19,2007-07-28,55.5,Cognac,Angoulême,individual time trial,Levi Leipheimer,USA,2007
20,2007-07-29,146,Marcoussis,Paris,plain stage,Daniele Bennati,ITA,2007
P,2006-07-01,7.1,Strasbourg,Strasbourg,individual time trial,Thor Hushovd,NOR,2006
1,2006-07-02,184.5,Strasbourg,Strasbourg,flat stage,Jimmy Casper,FRA,2006
2,2006-07-03,228.5,Obernai,Esch-sur-Alzette,flat stage,Robbie McEwen,AUS,2006
3,2006-07-04,216.5,Esch-sur-Alzette,Valkenburg,hilly stage,Matthias Kessler,GER,2006
4,2006-07-05,207,Huy,Saint-Quentin,flat stage,Robbie McEwen,AUS,2006
5,2006-07-06,225,Beauvais,Caen,flat stage,Óscar Freire,ESP,2006
6,2006-07-07,189,Lisieux,Vitré,flat stage,Robbie McEwen,AUS,2006
7,2006-07-08,52,Saint Grégoire,Rennes,individual time trial,Serhiy Honchar,UKR,2006
8,2006-07-09,181,Saint-Méen-le-Grand,Lorient,flat stage,Sylvain Calzati,FRA,2006
9,2006-07-11,169.5,Bordeaux,Dax,flat stage,Óscar Freire,ESP,2006
10,2006-07-12,190.5,Cambo-les-Bains,Pau,mountain stage,Juan Miguel Mercado,ESP,2006
11,2006-07-13,206.5,Tarbes,Val d'Aran/Pla-de-Beret,mountain stage,Denis Menchov,RUS,2006
12,2006-07-14,211.5,Luchon,Carcassonne,hilly stage,Yaroslav Popovych,UKR,2006
13,2006-07-15,230,Béziers,Montélimar,flat stage,Jens Voigt,GER,2006
14,2006-07-16,180.5,Montélimar,Gap,hilly stage,Pierrick Fédrigo,FRA,2006
15,2006-07-18,187,Gap,Alpe d'Huez,mountain stage,Fränk Schleck,LUX,2006
16,2006-07-19,182,Le Bourg-d'Oisans,La Toussuire,mountain stage,Michael Rasmussen,DEN,2006
17,2006-07-20,200.5,Saint-Jean-de-Maurienne,Morzine,mountain stage,Carlos Sastre,ESP,2006
18,2006-07-21,197,Morzine,Mâcon,flat stage,Matteo Tosatto,ITA,2006
19,2006-07-22,57,Le Creusot,Montceau-les-Mines,individual time trial,Serhiy Honchar,UKR,2006
20,2006-07-23,154.5,Antony/Parc de Sceaux,Paris,flat stage,Thor Hushovd,NOR,2006
1,2005-07-02,19,Fromentine,Noirmoutier-en-l'Île,individual time trial,David Zabriskie,USA,2005
2,2005-07-03,181.5,Challans,Les Essarts,plain stage,Tom Boonen,BEL,2005
3,2005-07-04,212.5,La Châtaigneraie,Tours,plain stage,Tom Boonen,BEL,2005
4,2005-07-05,67.5,Tours,Blois,team time trial,Discovery Channel,NA,2005
5,2005-07-06,183,Chambord,Montargis,plain stage,Robbie McEwen,AUS,2005
6,2005-07-07,199,Troyes,Nancy,plain stage,Lorenzo Bernucci,ITA,2005
7,2005-07-08,228.5,Lunéville,Karlsruhe,plain stage,Robbie McEwen,AUS,2005
8,2005-07-09,231.5,Pforzheim,Gérardmer,hilly stage,Pieter Weening,NED,2005
9,2005-07-10,171,Gérardmer,Mulhouse,hilly stage,Michael Rasmussen,DEN,2005
10,2005-07-12,177,Grenoble,Courchevel,mountain stage,Alejandro Valverde,ESP,2005
11,2005-07-13,173,Courchevel,Briançon,mountain stage,Alexander Vinokourov,KAZ,2005
12,2005-07-14,187,Briançon,Digne-les-Bains,hilly stage,David Moncoutié,FRA,2005
13,2005-07-15,173.5,Miramas,Montpellier,plain stage,Robbie McEwen,AUS,2005
14,2005-07-16,220.5,Agde,Ax 3 Domaines,mountain stage,Georg Totschnig,AUT,2005
15,2005-07-17,205.5,Lézat-sur-Lèze,Saint-Lary-Soulan Pla d'Adet,mountain stage,George Hincapie,USA,2005
16,2005-07-19,180.5,Mourenx,Pau,mountain stage,Óscar Pereiro,ESP,2005
17,2005-07-20,239.5,Pau,Revel,plain stage,Paolo Savoldelli,ITA,2005
18,2005-07-21,189,Albi,Mende,hilly stage,Marcos Antonio Serrano,ESP,2005
19,2005-07-22,153.5,Issoire,Le Puy-en-Velay,hilly stage,Giuseppe Guerini,ITA,2005
20,2005-07-23,55.5,Saint-Étienne,Saint-Étienne,individual time trial,Lance Armstrong[n 1],USA,2005
21,2005-07-24,144.5,Corbeil-Essonnes,Paris,plain stage,Alexander Vinokourov,KAZ,2005
P,2004-07-03,6.1,Liège,Liège,individual time trial,Fabian Cancellara,SUI,2004
1,2004-07-04,202.5,Liège,Charleroi,plain stage,Jaan Kirsipuu,EST,2004
2,2004-07-05,197,Charleroi,Namur,plain stage,Robbie McEwen,AUS,2004
3,2004-07-06,210,Waterloo,Wasquehal,plain stage,Jean-Patrick Nazon,FRA,2004
4,2004-07-07,64.5,Cambrai,Arras,team time trial,U.S. Postal Service,USA,2004
5,2004-07-08,200.5,Amiens,Chartres,plain stage,Stuart O'Grady,AUS,2004
6,2004-07-09,196,Bonneval,Angers,plain stage,Tom Boonen,BEL,2004
7,2004-07-10,204.5,Châteaubriant,Saint-Brieuc,plain stage,Filippo Pozzato,ITA,2004
8,2004-07-11,168,Lamballe,Quimper,plain stage,Thor Hushovd,NOR,2004
9,2004-07-13,160.5,Saint-Léonard-de-Noblat,Guéret,plain stage,Robbie McEwen,AUS,2004
10,2004-07-14,237,Limoges,Saint-Flour,hilly stage,Richard Virenque,FRA,2004
11,2004-07-15,164,Saint-Flour,Figeac,hilly stage,David Moncoutié,FRA,2004
12,2004-07-16,197.5,Castelsarrasin,La Mongie,mountain stage,Ivan Basso,ITA,2004
13,2004-07-17,205.5,Lannemezan,Plateau de Beille,mountain stage,Lance Armstrong[n 1],USA,2004
14,2004-07-18,192.5,Carcassonne,Nîmes,plain stage,Aitor González,ESP,2004
